TIPO DE USO DO IMOVEL,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Apartamento em condomínio,79729430.0,3406655.0,4461523.0,2932535.0,3573988.0,3805621.0,4053881.0,2784550.0,3430321.0,3701920.0,3271015.0,3752411.0,3373251.0,3396044.0,4764051.0,4545146.0,5974489.0,6637199.0,5360642.0,5644671.0,4988387.0,4547325.0,4255846.0,3397902.0,2205724.0,216191.0
Armazéns gerais e depósitos,5297932.0,152136.0,177012.0,163329.0,181803.0,127366.0,148521.0,250169.0,340145.0,149693.0,111968.0,90233.0,68475.0,52138.0,122268.0,248886.0,170342.0,207156.0,83810.0,73133.0,58512.0,78724.0,28530.0,52213.0,36171.0,12947.0
"Asilo, orfanato, creche, seminário ou convento",541787.0,14523.0,25265.0,11957.0,17029.0,13065.0,13939.0,6790.0,13745.0,7098.0,16218.0,5321.0,6019.0,5994.0,16565.0,2939.0,11164.0,35560.0,12568.0,5591.0,11816.0,16676.0,29439.0,17416.0,18515.0,3068.0
"Cinema, teatro, casa de diversão, clube ou congênere",521356.0,12732.0,4378.0,11373.0,19868.0,19382.0,52648.0,6901.0,26528.0,27507.0,41327.0,39106.0,1408.0,4694.0,3889.0,441.0,5503.0,2688.0,2219.0,1465.0,1271.0,11157.0,5010.0,13373.0,,
Clube esportivo,1472305.0,58677.0,10063.0,7310.0,106595.0,9453.0,15948.0,83183.0,38267.0,6189.0,21726.0,2740.0,618.0,12787.0,22701.0,9712.0,5688.0,10551.0,21040.0,3053.0,346333.0,24942.0,300.0,6136.0,2841.0,1837.0
Cortiço,282808.0,1568.0,7960.0,9545.0,4558.0,59996.0,2989.0,79297.0,4081.0,5225.0,82074.0,,1187.0,120.0,1254.0,260.0,2933.0,430.0,1300.0,,1204.0,661.0,,,,
Escola,7012635.0,119941.0,122540.0,432134.0,234651.0,160291.0,129578.0,138337.0,421311.0,187844.0,292526.0,213862.0,123104.0,127152.0,202125.0,204642.0,92527.0,64047.0,99888.0,128712.0,54734.0,74188.0,51715.0,39087.0,44453.0,6066.0
Escritório/consultório em condomínio (unidade autônoma),7005108.0,285918.0,431513.0,488483.0,504315.0,979485.0,895302.0,352592.0,682618.0,393894.0,489540.0,360761.0,350996.0,161415.0,432927.0,295799.0,454238.0,549854.0,1135507.0,1250267.0,1255498.0,1263696.0,583916.0,584152.0,150047.0,17377.0
"Estação radioemissora, de televisão ou empresa jornalística",295800.0,3013.0,3589.0,115.0,8938.0,12110.0,8555.0,13761.0,3311.0,4195.0,5366.0,6724.0,10341.0,58507.0,516.0,218.0,14514.0,602.0,3493.0,433.0,53.0,218.0,23.0,670.0,,
Flat de uso comercial (semelhante a hotel),463949.0,22866.0,25030.0,13658.0,10173.0,128198.0,363540.0,202918.0,129281.0,302035.0,72826.0,,8528.0,,24944.0,,23546.0,,,12083.0,,16106.0,26395.0,,,
Flat residencial em condomínio,346768.0,222.0,16537.0,664.0,3323.0,4217.0,13797.0,8002.0,15127.0,11247.0,13067.0,,,,,,,,14856.0,100.0,,,219.0,,7600.0,
Garagem (exclusive em prédio em condomínio),475402.0,27958.0,13192.0,41804.0,35826.0,27820.0,63194.0,24907.0,75493.0,43608.0,33434.0,25042.0,3029.0,12947.0,38063.0,12519.0,15175.0,22435.0,11341.0,15113.0,18697.0,12458.0,10668.0,4641.0,516.0,443.0
Garagem (unidade autônoma) de prédio de garagens,290458.0,81.0,,,,200.0,1561.0,,1321.0,,,,,1387.0,200.0,,1044.0,1515.0,30.0,,5052.0,,,1413.0,,
"Garagem (unidade autônoma) em edifício em condomínio de escritórios, consultórios ou misto",928329.0,7024.0,8407.0,40588.0,18963.0,41575.0,13040.0,25545.0,30734.0,45529.0,12462.0,10687.0,1007.0,5766.0,6175.0,48323.0,8455.0,29652.0,37147.0,49757.0,18755.0,96687.0,35817.0,110669.0,5884.0,540.0
Garagem (unidade autônoma) em edifício em condomínio de uso exclusivamente residencial,4463524.0,118513.0,150921.0,101771.0,134548.0,104201.0,108784.0,53107.0,62247.0,81830.0,45744.0,67081.0,50861.0,62312.0,79271.0,68584.0,60119.0,50345.0,85747.0,57659.0,58877.0,41180.0,45874.0,30338.0,18532.0,1304.0
"Hospital, ambulatório, casa de saúde e assemelhados",1862073.0,37879.0,90487.0,24477.0,178508.0,219590.0,101249.0,141469.0,80474.0,116249.0,103941.0,14625.0,55444.0,87892.0,70633.0,97622.0,71992.0,131476.0,19594.0,96590.0,15663.0,43499.0,5632.0,9948.0,41993.0,
"Hotel, pensão ou hospedaria",1091809.0,27904.0,48873.0,12888.0,16886.0,85837.0,148095.0,51680.0,134964.0,53187.0,23103.0,12927.0,17570.0,16706.0,16869.0,18716.0,1906.0,11812.0,4794.0,18318.0,44641.0,36706.0,20094.0,26931.0,12033.0,
Indústria,14522561.0,311011.0,363675.0,201412.0,255853.0,155944.0,200594.0,147684.0,328588.0,145405.0,79305.0,72214.0,143772.0,134190.0,162915.0,125879.0,89909.0,90072.0,44716.0,77084.0,46872.0,12017.0,44453.0,30417.0,7257.0,1480.0
Loja,13436133.0,559281.0,481912.0,584162.0,454141.0,531066.0,584896.0,535770.0,1222227.0,396556.0,444791.0,265089.0,276544.0,428313.0,560703.0,551110.0,467654.0,507529.0,357624.0,308669.0,323806.0,317185.0,432392.0,248333.0,89938.0,28603.0
Loja e residência (predominância comercial),10650674.0,158435.0,233240.0,106217.0,118227.0,123292.0,86599.0,51080.0,235624.0,54594.0,65143.0,24383.0,30509.0,26896.0,32625.0,19896.0,43915.0,37545.0,28865.0,18569.0,32085.0,24163.0,14232.0,16155.0,3854.0,482.0
Loja em edifício em condomínio (unidade autônoma),3128145.0,19438.0,29763.0,35394.0,98183.0,26427.0,17117.0,122024.0,281343.0,30858.0,8600.0,34566.0,8814.0,6385.0,6993.0,71549.0,12638.0,173819.0,42332.0,41506.0,12615.0,44850.0,34538.0,28285.0,9263.0,123.0
Oficina,1956787.0,71827.0,101786.0,65679.0,60605.0,59984.0,56914.0,34809.0,137174.0,19389.0,27501.0,13949.0,17060.0,24357.0,15955.0,23002.0,23008.0,22570.0,16703.0,17347.0,13616.0,9113.0,4401.0,5975.0,6434.0,550.0
"Outras edificações de uso coletivo, com utilização múltipla",2885136.0,77571.0,67460.0,83437.0,87357.0,78057.0,88515.0,156702.0,177642.0,56710.0,113984.0,41941.0,24785.0,56375.0,130236.0,32764.0,60316.0,109209.0,109299.0,14847.0,27514.0,30688.0,22330.0,6685.0,5637.0,524.0
"Outras edificações de uso comercial, com utilização múltipla",8861535.0,393262.0,277305.0,318610.0,1053450.0,495956.0,290175.0,184708.0,869213.0,456437.0,330305.0,254004.0,114574.0,190449.0,402996.0,83057.0,111790.0,230017.0,394476.0,144317.0,338606.0,625281.0,112071.0,151198.0,85142.0,50692.0
"Outras edificações de uso de serviço, com utilização múltipla",2026319.0,86716.0,93572.0,63468.0,77984.0,61031.0,71953.0,43035.0,130142.0,55931.0,87407.0,153842.0,16565.0,32096.0,36455.0,19659.0,32324.0,38749.0,24510.0,26684.0,26371.0,16857.0,30652.0,15113.0,9680.0,164.0
"Outras edificações de uso especial, com utilização múltipla",2966318.0,29563.0,32744.0,64924.0,39261.0,35266.0,21908.0,27400.0,75760.0,50039.0,119378.0,5566.0,340124.0,9096.0,109854.0,155.0,31547.0,21131.0,4544.0,5898.0,15103.0,1549.0,513.0,,1826.0,
Posto de serviço,591092.0,26484.0,28774.0,19737.0,31890.0,35559.0,30574.0,33573.0,54346.0,23388.0,19115.0,13692.0,10141.0,17932.0,13004.0,17717.0,26329.0,28019.0,14973.0,21957.0,23190.0,21056.0,17673.0,8324.0,6555.0,3566.0
"Prédio de apartamento, não em condomínio, de uso exclusivamente residencial",659528.0,26490.0,21992.0,37212.0,29786.0,111490.0,27850.0,43925.0,182417.0,59134.0,302658.0,61294.0,86182.0,48496.0,180822.0,66184.0,39521.0,106042.0,69428.0,61267.0,92328.0,40517.0,47272.0,45466.0,42807.0,135949.0
"Prédio de apartamento, não em condomínio, de uso misto (apartamentos e escritórios e/ou consultórios), com ou sem loja (predominância residencial)",2113259.0,12351.0,17972.0,4118.0,3532.0,21218.0,15300.0,2491.0,16639.0,7950.0,52368.0,1005.0,,2743.0,5878.0,2345.0,7853.0,2855.0,34795.0,,10418.0,9414.0,3396.0,1217.0,6991.0,6692.0
"Prédio de escritório ou consultório, não em condomínio, com ou sem lojas",10638905.0,157063.0,151323.0,212989.0,113385.0,292250.0,279080.0,129352.0,429456.0,228927.0,182870.0,122835.0,157048.0,146208.0,151529.0,81011.0,92346.0,155558.0,187739.0,425598.0,372948.0,225325.0,68207.0,60494.0,49744.0,8476.0
"Prédio de escritório, não em condomínio, de uso misto (apartamentos e escritórios e/ou consultórios) com ou sem loja (predominância comercial)",157033.0,13462.0,900.0,338.0,724.0,620.0,1349.0,6708.0,8499.0,474.0,586.0,12630.0,125.0,,,427.0,568.0,790.0,153.0,630.0,9007.0,955.0,63979.0,318.0,275.0,
Residência,97542262.0,2262462.0,4302168.0,1761453.0,2095770.0,2211965.0,1957090.0,1320496.0,2623243.0,1235130.0,1809158.0,976903.0,912835.0,996767.0,1139338.0,1670430.0,1324353.0,1488677.0,969808.0,849278.0,789428.0,722986.0,522799.0,334067.0,197321.0,31884.0
"Residência coletiva, exclusive cortiço (mais de uma residência no lote)",24963169.0,710454.0,1481877.0,553499.0,692644.0,817489.0,415939.0,339378.0,733719.0,210067.0,397632.0,118835.0,155372.0,145243.0,199917.0,215431.0,309696.0,279602.0,229392.0,208419.0,110351.0,148616.0,92841.0,100395.0,84844.0,33521.0
Residência e outro uso (predominância residencial),10976765.0,366059.0,766067.0,250121.0,281354.0,334540.0,182666.0,115494.0,271046.0,74414.0,289428.0,42408.0,36655.0,52040.0,119710.0,88543.0,228604.0,121961.0,58118.0,1123568.0,34673.0,26394.0,10679.0,7763.0,5488.0,1235.0
Templo,1792509.0,99393.0,128622.0,82266.0,80840.0,154049.0,80646.0,93516.0,218603.0,64742.0,46595.0,35467.0,65672.0,21977.0,21724.0,21154.0,39861.0,24786.0,28844.0,22845.0,11189.0,119785.0,11481.0,5636.0,2757.0,2264.0
Terreno,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
