,agregacao,area_construida,area_terreno,area_ocupada,maximo_de_pavimentos,media_testada,CA,TO,exercicio
0,EETU,73824920.0,47490507.066899955,22429535.5534,40.0,10.0,1.5545195147317066,0.47229513725350364,2019
1,Fora de Eixo,455218382.0,568240302.2528027,204243914.5047998,50.0,10.0,0.8011018933280084,0.35943229245632485,2019
0,EETU,61349042.0,46721241.795999974,20831219.697300002,40.0,10.0,1.313086716912828,0.44586185847233756,2006
1,Fora de Eixo,356500352.0,542777463.2338011,182467876.81459978,47.0,10.0,0.6568075798063076,0.33617437932569766,2006
0,EETU,53908169.0,45933932.79310001,19451604.335499983,90.0,10.0,1.1736022962113501,0.4234691687105424,1999
1,Fora de Eixo,312113566.0,537671932.3437004,170929248.1851997,69.0,10.0,0.5804907178983728,0.31790621362756055,1999
0,EETU,65250514.0,44327613.78260002,20481140.831300013,40.0,10.0,1.4720060123248246,0.4620402291841728,2010
1,Fora de Eixo,376210300.0,520301809.49530053,182163533.12469977,47.0,10.0,0.7230616790760902,0.3501112811838974,2010
0,EETU,60771782.0,46909322.78739997,20855813.5535,40.0,10.0,1.2955160805758539,0.44459847881457704,2005
1,Fora de Eixo,350261098.0,542614605.1638016,181762352.9684001,47.0,10.0,0.6455062113454633,0.3349750471857105,2005
0,EETU,72286045.0,47497574.30889997,22325074.133799993,40.0,10.0,1.5218891922751354,0.47002556359213443,2016
1,Fora de Eixo,439319814.0,561046244.993702,200642828.75409934,50.0,10.0,0.7830367245483151,0.3576226212089729,2016
0,EETU,67634310.0,44290912.51830004,20693994.002000004,40.0,10.0,1.5270471108956036,0.4672288924607208,2013
1,Fora de Eixo,398427112.0,529071697.2196015,187609406.07279974,50.0,10.0,0.7530682780686057,0.35460110049116617,2013
0,EETU,73045503.0,47506530.76279997,22373104.3661,40.0,10.0,1.5375886604878828,0.4709479729809965,2017
1,Fora de Eixo,446760790.0,563599515.3982028,202067597.65659943,50.0,10.0,0.7926919342440312,0.35853046735469885,2017
0,EETU,59292855.0,46820045.020499974,20685400.316399995,40.0,10.0,1.2663989317831466,0.44180650205148186,2003
1,Fora de Eixo,341048372.0,540661652.7458011,180107897.0051998,47.0,10.0,0.6307981530925186,0.33312497028502924,2003
0,EETU,55162678.0,45894323.172199994,19681120.02509998,90.0,10.0,1.2019499185776035,0.42883560895439055,2000
