,agregacao,area_construida,area_terreno,area_ocupada,maximo_de_pavimentos,media_testada,CA,TO,exercicio
0,Fora de MacroÁrea,4952.0,95866.0,4205.0,3.0,18.25,0.051655435712348485,0.04386330920242839,2019
1,Macroarea de Contencao Urbana e Uso Sustentavel,20539.0,1573707.0,15991.0,3.0,41.43750000000001,0.013051349457046325,0.01016135786394799,2019
2,Macroarea de Controle e Qualificacao Urbana e Ambiental,13480025.0,45917359.61400001,8493379.151099997,29.0,11.128125,0.2935714316615452,0.18497098314229726,2019
3,Macroarea de Estruturacao Metropolitana,151361438.0,152034907.75300014,61165389.627699874,46.0,10.0,0.9955702952502574,0.4023114857745088,2019
4,Macroarea de Preservacao dos Ecossistemas Naturais,31723.0,3482996.0,18440.0,3.0,200.0,0.009107963374060722,0.005294292614748911,2019
5,Macroarea de Qualificacao da Urbanizacao,137871436.0,149572346.6763999,66725092.71230005,47.0,9.903125,0.9217708959149058,0.44610580896119745,2019
6,Macroarea de Reducao da Vulnerabilidade Urbana,69885415.0,113238975.37030002,40156694.80010004,38.0,10.0,0.6171498353059924,0.354619022900769,2019
7,Macroarea de Reducao da Vulnerabilidade Urbana e Recuperacao Ambiental,25873733.0,76133848.50449996,17260936.540699992,50.0,10.0,0.33984533171826603,0.2267182978367338,2019
8,Macroarea de Urbanizacao Consolidada,130987971.0,74117470.74890001,33067665.381199986,40.0,11.0,1.7673022254600346,0.44615210215724677,2019
0,Fora de MacroÁrea,3227.0,95865.0,2900.0,2.0,18.25,0.03366192040890836,0.0302508736243676,2006
1,Macroarea de Contencao Urbana e Uso Sustentavel,15385.0,1304080.0,11688.0,3.0,33.625,0.011797589104962886,0.008962640328814183,2006
2,Macroarea de Controle e Qualificacao Urbana e Ambiental,10285180.0,44646367.25760001,7196451.5656,28.0,11.280625,0.23036991880339797,0.16118784142230455,2006
3,Macroarea de Estruturacao Metropolitana,114872683.0,145084019.54000017,55572603.29660003,46.0,10.0,0.7917666147120304,0.38303738394343606,2006
4,Macroarea de Preservacao dos Ecossistemas Naturais,29835.0,3469698.0,15472.0,3.0,150.0,0.008598731071119158,0.00445917771517867,2006
5,Macroarea de Qualificacao da Urbanizacao,111470235.0,146182737.34840006,62039009.75500004,47.0,10.0,0.7625403452004794,0.4243935424956594,2006
6,Macroarea de Reducao da Vulnerabilidade Urbana,50761466.0,105807556.31150003,33880293.964399986,32.0,10.0,0.47975274894882747,0.3202067521969374,2006
