,agregacao,area_construida,area_terreno,area_ocupada,maximo_de_pavimentos,media_testada,CA,TO,exercicio
0,Arco Jacu-Pessego,5031407.0,12818339.0066,3094446.4096000004,20.0,10.0,0.39251630007674104,0.24140775244021156,2019
1,Arco Jurubatuba,11827699.0,14774570.807899995,5140433.256599998,33.0,10.432857142857143,0.8005443375502795,0.34792437109925367,2019
2,Arco Leste,24434172.0,30969130.26529999,13637388.799499992,44.0,9.918518518518518,0.7889847661423601,0.4403542715818626,2019
3,Arco Pinheiros,6196689.0,11894289.2067,2854985.0376,30.0,15.555,0.5209801857272339,0.240029899053724,2019
4,Arco Tamanduatei,13922470.0,12278521.0238,6445251.733100001,30.0,8.8,1.1338881916652226,0.5249208533020291,2019
5,Arco Tiete,40142191.0,36999861.7596,16585302.214,32.0,9.940625,1.0849281346189001,0.44825308596448393,2019
6,Avenida Cupece,2888629.0,2659454.653,1245265.7734000003,29.0,10.0,1.0861734366259939,0.46824102527759864,2019
7,Centro,13576061.0,3536732.8840000015,2529049.999199998,46.0,12.6625,3.8385881674630857,0.7150808619563244,2019
8,Faria Lima-Agua Espraiada-Chucri Zaidan,27833715.0,13563321.521299997,6083121.627800005,42.0,10.0,2.0521311801308855,0.448497930115938,2019
9,Fernao Dias,1027232.0,1994834.0092,732172.1771,19.0,11.5625,0.5149461034163724,0.36703413603502144,2019
10,Fora de Setor,377681864.0,463695901.5667011,165508060.43049967,50.0,10.0,0.8145033473962497,0.35693233403895397,2019
11,Noroeste,4481173.0,10545852.6156,2817972.5998000004,33.0,10.92875,0.42492277896726954,0.267211452929989,2019
0,Arco Jacu-Pessego,2910653.0,9073798.615599997,1903473.4659,18.0,10.0,0.32077557848770216,0.2097769133455839,2006
1,Arco Jurubatuba,7584595.0,14021830.133099992,4421779.408900001,26.0,10.441458333333333,0.540913342124704,0.3153496631272069,2006
2,Arco Leste,20388854.0,30709678.632899985,12696831.379499996,44.0,10.0,0.6639227405706861,0.413447223960774,2006
3,Arco Pinheiros,4156896.0,11862694.432700003,2518432.1659,26.0,14.104761904761904,0.350417523066374,0.21229849425758102,2006
4,Arco Tamanduatei,11297990.0,12228035.007500004,6301996.8105,27.0,8.618,0.923941581216478,0.5153728139177474,2006
5,Arco Tiete,31978281.0,37075546.785399996,15664828.136999996,31.0,9.77727272727273,0.8625167737942235,0.4225110482569784,2006
6,Avenida Cupece,2205514.0,2355937.5055000004,1044183.1155000002,27.0,10.5,0.9361513176182167,0.4432134184639135,2006
7,Centro,12810902.0,3477748.3889,2531415.4126999984,46.0,12.754999999999999,3.6836770713168367,0.727889177026023,2006
8,Faria Lima-Agua Espraiada-Chucri Zaidan,17378320.0,13593399.307799987,5558260.3645,38.0,10.0,1.2784381306321368,0.4088940697350538,2006
9,Fernao Dias,777808.0,1953746.8904,605964.932,5.0,10.913333333333334,0.39811093433948125,0.3101552892943763,2006
10,Fora de Setor,302976711.0,444414685.4898004,147726493.21529976,47.0,10.0,0.6817432476743694,0.3324068669163953,2006
11,Noroeste,3382870.0,8731603.8402,2325438.1042,21.0,10.867777777777778,0.3874282505151441,0.2663242797953984,2006
0,Arco Jacu-Pessego,2464482.0,9014662.0313,1714695.4150999999,15.0,10.0,0.27338595628355444,0.19021183591202523,1999
1,Arco Jurubatuba,6894937.0,14024361.050099991,4350610.7465,22.0,10.542222222222222,0.4916400095069458,0.3102181076883343,1999
2,Arco Leste,17086426.0,28694636.2535,11458405.333999995,44.0,10.0,0.595457138715808,0.3993222019882677,1999
3,Arco Pinheiros,3821331.0,12339860.1169,2409051.1133,26.0,12.5,0.3096737697023415,0.19522515575364544,1999
4,Arco Tamanduatei,10146622.0,11793766.091,6005319.886599997,26.0,8.666666666666666,0.8603377345039122,0.5091944201931177,1999
5,Arco Tiete,29558357.0,37242752.66229999,15495599.3068,31.0,9.95,0.7936673550427776,0.41607019350333496,1999
6,Avenida Cupece,1923127.0,2360327.6925,965170.6947,27.0,10.57125,0.8147711888102589,0.40891385453251,1999
7,Centro,12719707.0,3500465.4798000017,2552874.697199998,46.0,12.759999999999998,3.633718736379808,0.7292957784991086,1999
8,Faria Lima-Agua Espraiada-Chucri Zaidan,14088398.0,13662554.649299987,5363319.311500002,34.0,10.0,1.0311686475648851,0.3925561104178124,1999
9,Fernao Dias,756615.0,1974176.8904,593922.932,6.0,10.913333333333334,0.3832559299418694,0.3008458537267457,1999
10,Fora de Setor,263693213.0,440538971.9054002,137391222.22449988,90.0,10.0,0.5985695473421692,0.3118707560202024,1999
11,Noroeste,2868520.0,8459330.314299999,2080660.8584999999,21.0,11.169345238095238,0.3390954003948677,0.2459604698238069,1999
0,Arco Jacu-Pessego,3438753.0,9559914.574999997,2214584.3290999997,18.0,10.0,0.35970541086137275,0.2316531504257715,2010
1,Arco Jurubatuba,7994818.0,10703719.590899989,4090559.975600001,28.0,10.25,0.7469196041717102,0.3821624754704602,2010
2,Arco Leste,21217637.0,30284927.594599985,12608262.533799997,44.0,10.0,0.7006005523283223,0.41632136957950455,2010
3,Arco Pinheiros,4872441.0,11982921.469800001,2769045.7548,26.0,13.410694444444445,0.40661544951953377,0.23108269229492134,2010
4,Arco Tamanduatei,11983776.0,12325588.640700005,6313790.783700001,30.0,8.600000000000001,0.972268047339231,0.5122506492591679,2010
5,Arco Tiete,34409148.0,37458703.348199986,16191998.594899995,31.0,9.825,0.9185888705262264,0.4322626558742876,2010
6,Avenida Cupece,2388669.0,2376550.2768000006,1085378.5799000002,27.0,10.081538461538461,1.0050992917416068,0.4567033950409208,2010
7,Centro,12980047.0,3505650.586000001,2564645.016899998,46.0,12.451041666666667,3.702607171358291,0.7315746261598466,2010
8,Faria Lima-Agua Espraiada-Chucri Zaidan,20173383.0,13892178.929499991,5796334.616200005,42.0,10.0,1.4521395889281195,0.4172372559852011,2010
9,Fernao Dias,797661.0,1963554.8904,617529.932,5.0,10.956666666666667,0.40623310501776033,0.3144958844894841,2010
10,Fora de Setor,317560470.0,421654167.4978002,145937019.8226998,47.0,10.0,0.7531301585004654,0.3461059585601301,2010
11,Noroeste,3644011.0,8921545.878199998,2455524.0164,21.0,10.92,0.40845062613018945,0.27523526190681025,2010
0,Arco Jacu-Pessego,2826600.0,9005209.3426,1877409.7868999997,18.0,10.0,0.31388498506397844,0.20848041566548978,2005
1,Arco Jurubatuba,7434747.0,14012574.190399991,4400538.392600001,25.0,10.439499999999999,0.5305768161494225,0.3140421119493382,2005
2,Arco Leste,20163029.0,30786215.394199982,12671139.447299996,44.0,10.0,0.6549369171177385,0.41158483707897386,2005
3,Arco Pinheiros,4108946.0,11873512.855300002,2499686.9643,26.0,13.968333333333334,0.3460598434578594,0.21052631978110928,2005
4,Arco Tamanduatei,11196289.0,12155973.523200002,6237833.185,27.0,8.6625,0.9210524339026884,0.5131496192464493,2005
5,Arco Tiete,31864980.0,37398569.34679999,15884149.099999998,31.0,9.87465277777778,0.8520374056160661,0.4247261159298631,2005
6,Avenida Cupece,2154712.0,2359245.7699,1040429.1235000001,27.0,10.475,0.9133054417180667,0.4410007370889978,2005
7,Centro,12848826.0,3511759.337799999,2566884.0877999994,46.0,12.69525,3.6588002662076966,0.7309396347780674,2005
8,Faria Lima-Agua Espraiada-Chucri Zaidan,16859043.0,13626019.217099985,5522242.934900003,37.0,10.0,1.2372684003588317,0.4052719174188349,2005
9,Fernao Dias,775861.0,1973821.8904,606214.932,5.0,10.875,0.3930754865844404,0.30712747434225135,2005
10,Fora de Setor,297496614.0,443990517.42470056,147013245.6688999,47.0,10.0,0.6700517293152652,0.3311179854056971,2005
11,Noroeste,3303233.0,8830509.658799998,2298392.8987,21.0,10.867777777777778,0.3740704815047884,0.26027862348913783,2005
0,Arco Jacu-Pessego,4489528.0,9577437.001999998,2720557.5706,18.0,10.0,0.46876090117455005,0.2840590410599289,2016
1,Arco Jurubatuba,11130319.0,15182490.679899994,5010721.0518,33.0,10.5,0.7331023107252989,0.33003287520101443,2016
2,Arco Leste,23495383.0,30747694.384799976,13361381.289199991,44.0,9.9440625,0.7641347902695061,0.4345490468971601,2016
3,Arco Pinheiros,6042222.0,11817640.414900001,2840254.6349,30.0,15.11,0.5112883611166408,0.24034024857609732,2016
4,Arco Tamanduatei,13396734.0,12322902.962300003,6409033.723000001,30.0,8.785352011494252,1.0871410771459626,0.5200912270921421,2016
5,Arco Tiete,38235327.0,36737779.87649999,16536798.917699998,31.0,9.9,1.0407631361648488,0.45013060052325243,2016
6,Avenida Cupece,2780556.0,2661135.4196000006,1232920.2499,29.0,10.0,1.044875799826057,0.4633060913846023,2016
7,Centro,13238548.0,3539347.608200001,2540848.236299998,46.0,12.6625,3.740392147221929,0.7178860393405078,2016
8,Faria Lima-Agua Espraiada-Chucri Zaidan,26470260.0,13698302.3498,6082180.9266000055,42.0,10.0,1.9323752187720162,0.4440098321153502,2016
9,Fernao Dias,925703.0,1883856.8812,672076.7309,19.0,11.6425,0.49138711610105723,0.35675572683201556,2016
10,Fora de Setor,367143065.0,460187970.66140103,162885267.17879948,50.0,10.0,0.7978110867877031,0.3539537701185324,2016
11,Noroeste,4258214.0,10187261.062,2675862.3782,31.0,10.97,0.4179939999656799,0.2626674983505984,2016
0,Arco Jacu-Pessego,3750353.0,9933425.614699997,2336938.5248,18.0,10.0,0.37754880798120977,0.23526008201457485,2013
1,Arco Jurubatuba,8609749.0,10702715.92279999,4222673.0529,30.0,10.251,0.8044452512897831,0.394542196892701,2013
2,Arco Leste,22084502.0,29866290.381299976,12583490.778299995,44.0,10.0,0.7394457670520626,0.42132754411906576,2013
3,Arco Pinheiros,5425195.0,12009681.592900002,2819730.313100001,30.0,13.451666666666668,0.45173512370280644,0.23478809919215476,2013
4,Arco Tamanduatei,12770841.0,12350128.093800003,6435466.3983000005,30.0,8.625,1.0340654690384308,0.5210849919468225,2013
5,Arco Tiete,36144776.0,37469472.81349999,16422300.044799995,31.0,9.836666666666666,0.9646459713993438,0.4382847905691151,2013
6,Avenida Cupece,2466835.0,2383684.776300001,1095096.3217000002,27.0,10.198157894736841,1.0348830619412128,0.45941322971396775,2013
7,Centro,13000949.0,3540453.8810000014,2566816.5759999976,46.0,12.540166666666666,3.672113643329787,0.7249964728463008,2013
8,Faria Lima-Agua Espraiada-Chucri Zaidan,22982310.0,13851238.038399996,5873518.889900003,42.0,10.0,1.6592242466908587,0.4240428814822731,2013
9,Fernao Dias,818116.0,1961717.9176999999,645199.9469,5.0,10.875,0.41704059111576725,0.3288953733248557,2013
10,Fora de Setor,334057137.0,429128875.0481004,150732913.68949988,50.0,10.0,0.7784541111631232,0.35125325386832673,2013
11,Noroeste,3950659.0,10164925.657399999,2569255.5386,31.0,10.95375,0.38865596593162943,0.2527569433554685,2013
0,Arco Jacu-Pessego,4534877.0,10107562.000799999,2744817.8617000002,18.0,10.0,0.44866180386932786,0.27156082361728295,2017
1,Arco Jurubatuba,11461867.0,15187872.703399993,5087820.0943,33.0,10.472916666666666,0.7546723115103617,0.33499227927825787,2017
2,Arco Leste,23856467.0,30716712.459699977,13443393.604199994,44.0,9.9,0.7766608171789038,0.43765730534599345,2017
3,Arco Pinheiros,6115095.0,11894455.7726,2861138.4447000003,30.0,15.555,0.5141130554360207,0.24054387181722953,2017
4,Arco Tamanduatei,13632185.0,12315020.520200001,6416820.352100001,30.0,8.784102011494252,1.106955930575957,0.5210564076263341,2017
5,Arco Tiete,39313173.0,37014947.801800005,16558607.9475,32.0,9.876805555555556,1.0620891108777475,0.4473492178393608,2017
6,Avenida Cupece,2869323.0,2660241.415,1240994.2109,29.0,10.042916666666667,1.078594966539907,0.4664968389344469,2017
7,Centro,13372353.0,3537198.4158000015,2543627.2597999983,46.0,12.61,3.7804927595433178,0.7191078816608344,2017
8,Faria Lima-Agua Espraiada-Chucri Zaidan,27180928.0,13706895.376299994,6096594.594800004,42.0,10.0,1.9830112694226425,0.44478304002680025,2017
9,Fernao Dias,934038.0,1884015.8692,673378.5451,19.0,11.6425,0.4957697094115326,0.35741659935483094,2017
10,Fora de Setor,372122633.0,461593173.78950113,163975800.5785995,50.0,10.0,0.8061701388367972,0.3552387901069284,2017
11,Noroeste,4413354.0,10487950.036700001,2797708.5290000006,33.0,10.9884375,0.42080234789034593,0.266754563018522,2017
0,Arco Jacu-Pessego,2724069.0,8959477.395599999,1832602.0267999999,16.0,10.0,0.3040432917814817,0.20454340648261374,2003
1,Arco Jurubatuba,7307830.0,13997681.93739999,4452676.089999999,25.0,10.494166666666668,0.5220743000649576,0.31810096199593063,2003
2,Arco Leste,19820773.0,29865621.83639999,12572303.002199994,44.0,10.0,0.663665170227348,0.4209623717553729,2003
3,Arco Pinheiros,4077687.0,11876587.599500002,2531450.8087999998,26.0,13.75,0.34333826663912015,0.21314630886960936,2003
4,Arco Tamanduatei,11133608.0,12169791.3198,6339442.8999,27.0,8.600000000000001,0.9148561144089503,0.5209163192129561,2003
5,Arco Tiete,31071218.0,37116311.78989998,15749403.460299997,31.0,9.89,0.8371310753040672,0.4243256590108097,2003
6,Avenida Cupece,2131613.0,2360327.5428000004,1037147.5505,27.0,10.685714285714283,0.9031005067505666,0.4394083158770653,2003
7,Centro,12784473.0,3438133.335,2545727.2469000006,46.0,12.85534090909091,3.7184343230248804,0.7404387785036268,2003
8,Faria Lima-Agua Espraiada-Chucri Zaidan,15919085.0,13660087.340399986,5499977.383200001,37.0,10.0,1.1653721241531876,0.40263120184698276,2003
9,Fernao Dias,775240.0,1974283.8904,604535.932,5.0,10.875,0.39266895899299087,0.30620516884100085,2003
10,Fora de Setor,289406512.0,443249817.04740036,145369673.29119974,47.0,10.0,0.652919642308733,0.3279633012813047,2003
11,Noroeste,3189119.0,8813576.7317,2258357.6297999998,21.0,10.9,0.3618416333211942,0.25623622492299997,2003
0,Arco Jacu-Pessego,2530289.0,9010966.631299999,1753698.5435,14.0,10.0,0.2808010620315613,0.1946182485471036,2000
1,Arco Jurubatuba,6956069.0,14039957.647499993,4373618.366900001,22.0,10.5,0.49544800452005805,0.31151221938897966,2000
2,Arco Leste,17654103.0,28692957.9303,11688347.818499995,44.0,10.0,0.6152765094098968,0.40735945896177556,2000
3,Arco Pinheiros,3869263.0,11855562.640899999,2440409.2051,26.0,12.5,0.32636688086414345,0.20584507703421315,2000
4,Arco Tamanduatei,10208296.0,11773126.8547,6009746.221699999,26.0,8.6,0.8670845159478345,0.5104630482513507,2000
5,Arco Tiete,30003736.0,37290393.27799999,15584379.225900006,31.0,9.975,0.8045969313415942,0.4179194118366737,2000
6,Avenida Cupece,2042310.0,2360199.1654999997,1019409.9019,27.0,10.65625,0.8653125676228023,0.4319168978623216,2000
7,Centro,12753825.0,3497359.7235000012,2554086.575899999,46.0,12.75,3.646700942514584,0.7302899266375674,2000
8,Faria Lima-Agua Espraiada-Chucri Zaidan,14608969.0,13636304.344999993,5391636.698,37.0,10.0,1.0713290515077607,0.3953884103486547,2000
9,Fernao Dias,757204.0,1974405.8904,594408.932,6.0,10.875,0.3835097958741382,0.30105711033893706,2000
10,Fora de Setor,272703343.0,440256614.40449995,140567327.31629992,90.0,10.0,0.6194190707818532,0.319284986794427,2000
11,Noroeste,2953507.0,8514569.775199998,2131940.7454999997,21.0,11.05,0.3468768332373699,0.25038737150403145,2000
0,Arco Jacu-Pessego,3637269.0,9885503.639799997,2310392.0909999995,18.0,10.0,0.36793967536019123,0.2337151626446362,2012
1,Arco Jurubatuba,8534568.0,10705201.83789999,4203905.3052,30.0,10.280000000000001,0.7972355990323114,0.39269743521479167,2012
2,Arco Leste,21820461.0,30078453.90939998,12639460.392299999,44.0,10.0,0.7254515496616257,0.42021642569699946,2012
3,Arco Pinheiros,5314867.0,12009171.2162,2811254.9444000004,29.0,13.353472222222223,0.44256734326765274,0.23409233608125302,2012
4,Arco Tamanduatei,12602763.0,12341500.0249,6442224.950200001,30.0,8.625,1.0211694668049167,0.5219969158694062,2012
5,Arco Tiete,35436133.0,37475201.166299984,16353183.200299993,31.0,9.858047800338422,0.9455888666947667,0.43637346008447275,2012
6,Avenida Cupece,2405275.0,2375401.484000001,1086571.0082000003,27.0,10.081538461538461,1.0125761965719133,0.45742625636921586,2012
7,Centro,13033886.0,3539846.0546000027,2573839.6310999985,46.0,12.6,3.682048823299128,0.7271049620237902,2012
8,Faria Lima-Agua Espraiada-Chucri Zaidan,21779791.0,13896297.240999997,5820401.347000003,42.0,10.0,1.5673089472885149,0.4188454842364295,2012
9,Fernao Dias,814580.0,1966311.8904,640984.932,5.0,10.875,0.4142679520868344,0.3259833473669361,2012
10,Fora de Setor,328670029.0,428077626.3346003,149191987.60519987,50.0,10.0,0.7677813760420642,0.3485161999300245,2012
11,Noroeste,3756185.0,9426890.7131,2504996.4002,31.0,10.875,0.39845428512078207,0.26572880459078124,2012
0,Arco Jacu-Pessego,2071887.0,9053791.316999998,1462359.2595999998,14.0,10.0,0.22884192129651673,0.16151899335852563,1996
1,Arco Jurubatuba,6395372.0,13731815.100899994,4037039.6436000005,22.0,10.681666666666667,0.46573391449036056,0.293991698397935,1996
2,Arco Leste,15420399.0,29381138.017199997,10573528.101399992,44.0,10.0,0.5248400858732141,0.3598746956367091,1996
3,Arco Pinheiros,3612179.0,12285380.406900002,2295811.7533,26.0,13.3,0.29402256017821343,0.18687347703214569,1996
4,Arco Tamanduatei,9683352.0,11791145.1105,5896801.805899999,26.0,8.58,0.8212393206302743,0.5001042520161086,1996
5,Arco Tiete,28154745.0,34873255.099099986,14970849.798600005,31.0,10.0,0.8073449100174942,0.4292931576377674,1996
6,Avenida Cupece,1496474.0,1906613.8539,746104.2487000001,25.0,10.948809523809523,0.7848857265664705,0.3913242564422972,1996
7,Centro,12602533.0,3498338.3440000038,2521835.8967000004,46.0,12.8,3.6024340017353067,0.7208667798028164,1996
8,Faria Lima-Agua Espraiada-Chucri Zaidan,12488681.0,13228160.202399997,4909768.294100002,34.0,10.0,0.9440981065329227,0.37116032909922114,1996
9,Fernao Dias,728233.0,1908040.8904,570629.932,6.0,10.787539682539682,0.3816653006043984,0.2990658821155419,1996
10,Fora de Setor,236800968.0,439139735.60869986,125619423.99979997,199.23,10.0,0.5392383079881526,0.2860579761147702,1996
11,Noroeste,2604598.0,8450286.707899999,1945281.0289999999,21.0,11.331717011128775,0.3082259916181323,0.23020296189257067,1996
0,Arco Jacu-Pessego,2625917.0,8959550.5881,1791024.4354999997,14.0,10.0,0.29308579422362113,0.19990114659085953,2001
1,Arco Jurubatuba,7026436.0,13988468.326599993,4406485.3001,22.0,10.5,0.5023020273519703,0.3150084195937863,2001
2,Arco Leste,19379547.0,29901340.589899994,12443243.577799998,44.0,10.0,0.6481163258126954,0.41614333445648416,2001
3,Arco Pinheiros,3944295.0,11899387.5852,2485369.8976,26.0,12.21875,0.3314704199488184,0.2088653621713446,2001
4,Arco Tamanduatei,10743167.0,12306109.900300002,6303221.631499999,26.0,8.581666666666667,0.8729945601849453,0.5122026117568101,2001
5,Arco Tiete,30550640.0,37316800.58239999,15746716.497800004,31.0,9.845833333333331,0.8186832612442353,0.42197391662849976,2001
6,Avenida Cupece,2085284.0,2359295.5897,1028703.1353000001,27.0,10.65625,0.8838587284712204,0.436021302201818,2001
7,Centro,12784435.0,3498471.172200001,2559310.0000999994,46.0,12.837499999999999,3.654291938029764,0.7315509758768676,2001
8,Faria Lima-Agua Espraiada-Chucri Zaidan,15150069.0,13643977.179899992,5468064.9984,37.0,10.0,1.1103851025431755,0.4007676739928467,2001
9,Fernao Dias,759734.0,1974349.8904,595350.932,6.0,10.913333333333334,0.38480210812384386,0.30154276853095324,2001
10,Fora de Setor,281046751.0,443499207.8776001,143367544.59499982,47.0,10.0,0.6337029379262503,0.32326448852320694,2001
11,Noroeste,3026621.0,8501936.541899998,2156415.4499999997,21.0,10.989705882352942,0.3559919537253587,0.2536381493054626,2001
0,Arco Jacu-Pessego,3509898.0,9735514.069199998,2258163.6387999994,18.0,10.0,0.36052518388363036,0.2319511453374707,2011
1,Arco Jurubatuba,8076483.0,13510689.59369999,4402801.866999999,28.0,10.3385,0.5977846611002039,0.3258754363695112,2011
2,Arco Leste,21587017.0,30087208.02969998,12595738.9578,44.0,10.0,0.7174815615556888,0.41864100335818366,2011
3,Arco Pinheiros,5033938.0,11982830.355500001,2766857.2219000002,27.0,13.410694444444445,0.4200959081165221,0.23090181032480694,2011
4,Arco Tamanduatei,12277824.0,12340714.208000004,6320946.779300001,30.0,8.600000000000001,0.9949038437370801,0.5122026709930919,2011
5,Arco Tiete,34872805.0,37457574.40239999,16257980.63229999,31.0,9.826041666666667,0.930994746893318,0.43403719786133044,2011
6,Avenida Cupece,2394173.0,2376637.1378000006,1086079.5291000002,27.0,10.081538461538461,1.0073784348149302,0.45698163671100395,2011
7,Centro,13022550.0,3534843.1295000026,2569612.8670999985,46.0,12.53,3.684053159621264,0.7269383033310068,2011
8,Faria Lima-Agua Espraiada-Chucri Zaidan,20946417.0,13877595.102899993,5801190.526200004,42.0,10.0,1.509369371615608,0.41802563651592145,2011
9,Fernao Dias,798171.0,1967268.8904,617671.932,5.0,10.913333333333334,0.40572542162129643,0.3139743301051288,2011
10,Fora de Setor,323069914.0,428305325.3683003,147691175.1402998,47.0,10.0,0.7542981486914545,0.34482684756090753,2011
11,Noroeste,3694796.0,8922190.7713,2468092.2538,31.0,10.875,0.41411309113508826,0.276624017246875,2011
0,Arco Jacu-Pessego,3045269.0,9099769.604399998,1996329.1745000002,18.0,10.0,0.3346534178763741,0.21938238672929897,2007
1,Arco Jurubatuba,7850734.0,14004790.32349999,4465242.0319,26.0,10.28625,0.5605749046329166,0.3188367643325112,2007
2,Arco Leste,20688111.0,30972720.703399986,12809898.231799996,44.0,10.0,0.6679461968521543,0.4135864703159192,2007
