setor,AREA CONSTRUIDA,area_ocupada
001,3555393,619246.4615999521
002,1383380,569828.1622999979
003,1386688,533253.0560000208
004,1437003,599922.4691999949
005,2897314,503646.61280000187
006,3966610,492186.46470004955
007,4083484,665797.0448999752
008,2845176,698385.3251000164
009,7470366,967896.243699965
010,8300332,954440.6384000506
011,3351120,848859.4232000149
012,3519066,984027.4773000028
013,4519369,835918.3169999927
014,4861894,809871.0689000016
015,3502281,906084.4322000032
016,5565011,1037967.0192999863
017,1717539,762687.4016000049
018,1924059,827741.147400001
019,2009103,836736.6865000064
020,5385239,931328.4682000394
021,4652315,923508.391799966
022,3889975,791659.3290999971
023,2371515,734429.7469999987
024,1551477,669812.3380000017
025,2211978,885920.5141000056
026,1692869,899985.8286000004
027,1638446,791697.9408999596
028,2698954,1073900.605600007
029,1813558,751602.0934999966
030,2658494,845025.390900011
031,2027134,863949.2280000153
032,3640196,1708075.5682999976
033,3533552,769785.5538999471
034,1845727,610253.1324999796
035,2072089,838436.4449000151
036,5354275,1022508.2013999744
037,3762962,814376.4892000008
038,3818956,748685.8227999851
039,3141245,837955.9826000194
040,3273364,1338379.5140999763
041,8384179,1527089.6825998526
042,4836028,1128081.1544999722
043,2272201,1040171.8428999913
044,1561573,905171.8641999918
045,4409861,1457741.4408999875
046,2883591,935802.0510999991
047,5142668,1582517.7517999585
048,2316467,1281343.8179000006
049,3683025,1804476.3029999393
050,2918665,1624513.7652000429
051,3341238,1697568.002599941
052,3397841,1490633.5039999983
053,1908538,1141882.6182999776
054,6175562,1716383.6679999733
055,4351751,2181444.4097000384
056,2958339,1271611.1528999824
057,1734203,1061463.1726999949
058,2060381,1207153.1251000036
059,2655998,1599672.2362000614
060,2422853,1472782.4636999816
061,2022513,1027272.1697000085
062,3398139,1255778.5709999944
063,1852003,1201227.6101000078
064,2906983,1747476.4149999786
065,1876608,1127136.0812000139
066,4419866,2976595.3420999995
067,3808864,2114694.4958999325
068,5160232,2735393.624499989
069,2518712,920541.1905999981
070,4741763,2039285.789599923
071,4183567,1594705.2131999913
072,4737494,1461823.5336999956
073,2728389,1026004.7894000189
074,1163056,670489.5562000074
075,3012260,1726398.6634000998
076,4400474,2518541.1690999884
077,1603373,923102.9090000072
078,4618079,2394629.2430999046
079,1417953,732548.864699983
080,3931915,1253686.624199966
081,4939181,1714627.6301999318
082,4416733,1980312.6795999936
083,4336562,1057142.7761999716
084,977052,492335.9689
085,10406827,2287944.3796996623
086,6128940,1566679.8342999094
087,7188145,2688728.3665999817
088,4865433,2017201.3955000045
089,6223734,2585160.550200062
090,5920046,2434954.5539999404
091,3122521,1659120.4255
093,1496751,1046658.0317999888
094,1319022,823828.3850999598
095,2329803,1536932.3652999718
096,1520638,443425.9311000002
097,2839761,1441390.14569995
098,1786498,829847.9873000002
099,1407380,813638.8091000156
100,1317034,602074.7231000055
101,6471333,2947245.570300101
102,1425746,867322.4536000171
103,1192522,576268.5263999733
104,2093103,1030789.0191999961
105,1158740,750138.8771999965
106,927243,680285.7635999976
107,2639885,1579284.717100004
108,995557,653657.4053999997
109,1296494,773371.5468000027
110,2693804,1776718.3398000128
111,3563531,2480430.177399996
112,4710748,3333258.318999944
113,3300716,2252598.3080000496
114,2371491,1410427.3694000328
115,1918675,1297352.5255000228
116,3661552,2170997.0284000086
117,2199550,1317824.4272000415
118,3341730,2057714.4722999441
119,2547167,1502178.7882999491
120,2983648,1598067.7343000823
121,1571521,990350.6898999952
122,1232512,716057.2915999811
123,3061211,1302366.0812000139
124,1044463,664471.7882000057
125,932295,515928.85139999364
126,515366,407037.1564
127,1439558,893688.7946000537
128,404422,269168.6841000002
129,174846,128457.02280000075
130,1926085,1122972.0407000268
131,1177882,682018.0709000131
132,1170776,869331.345699995
133,1135280,874274.9409999887
134,2660551,1949215.0452000478
135,1533654,1125667.0230000545
136,750228,449949.0020999615
137,472997,307739.5219999961
138,1495856,988594.9890000357
139,1810654,1242686.4108999863
140,1708353,1181038.7958000188
141,1509301,728908.6535999853
142,1072777,714876.7499000024
