TIPO DE USO DO IMOVEL,ANO DO EXERCICIO,quantidade
apartamento,2010,957402
armazéns gerais e depósitos,2010,8073
"asilo, orfanato, creche, seminário ou convento",2010,625
"cinema, teatro, casa de diversão, clube ou congênere",2010,546
clube esportivo,2010,536
cortiço (habitação coletiva subnormal),2010,1581
escola,2010,6591
escritório ou consultório,2010,89956
"estacionamento e garagem, não em condomínio",2010,2798
"estação radioemissora, de televisão ou empresa jornalística",2010,315
"flat, não residencial",2010,23965
"flat, residencial",2010,3961
"garagem em edifício de escritórios, consultórios ou misto",2010,27722
garagem em edifício de uso exclusivamente residencial,2010,158620
"garagem, em prédio de garagens",2010,9741
"hospital, ambulatório, casa de saúde e assemelhados",2010,1386
"hotel, pensão ou hospedaria",2010,1722
indústria,2010,13352
loja,2010,51732
loja e residência (predominância comercial),2010,46451
loja em edifício em condomínio,2010,21205
oficina,2010,10118
"outras edificações do tipo (uso coletivo), com utilização múltipla",2010,3213
"outras edificações do tipo (uso comércio), com utilização múltipla",2010,19166
"outras edificações do tipo (uso especial), com utilização múltipla",2010,1215
"outras edificações do tipo (uso serviço), com utilização múltipla",2010,5011
posto de serviço (combustíveis),2010,2190
"prédio com uso exclusivamente residencial, não em condomínio",2010,1523
"prédio com uso misto, predominância de uso não residencial, não em condomínio",2010,235
"prédio com uso misto, predominância de uso residencial, não em condomínio",2010,2838
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",2010,25336
residência,2010,968283
"residência coletiva (mais de uma residência no lote), exclusive cortiço",2010,195138
residência e outro uso (predominância residencial),2010,80991
templo,2010,5264
terreno,2010,112645
apartamento,1996,627582
armazéns gerais e depósitos,1996,6203
"asilo, orfanato, creche, seminário ou convento",1996,393
"cinema, teatro, casa de diversão, clube ou congênere",1996,517
clube esportivo,1996,526
cortiço (habitação coletiva subnormal),1996,2267
escola,1996,4907
escritório ou consultório,1996,46651
"estacionamento e garagem, não em condomínio",1996,1232
"estação radioemissora, de televisão ou empresa jornalística",1996,53
"garagem em edifício de escritórios, consultórios ou misto",1996,17325
garagem em edifício de uso exclusivamente residencial,1996,93194
"garagem, em prédio de garagens",1996,8048
"hospital, ambulatório, casa de saúde e assemelhados",1996,1194
"hotel, pensão ou hospedaria",1996,1459
indústria,1996,14376
loja,1996,35942
loja e residência (predominância comercial),1996,50147
loja em edifício em condomínio,1996,18381
oficina,1996,9695
"outras edificações do tipo (uso coletivo), com utilização múltipla",1996,1621
"outras edificações do tipo (uso comércio), com utilização múltipla",1996,12834
"outras edificações do tipo (uso especial), com utilização múltipla",1996,1016
"outras edificações do tipo (uso serviço), com utilização múltipla",1996,3362
posto de serviço (combustíveis),1996,1899
"prédio com uso exclusivamente residencial, não em condomínio",1996,1247
"prédio com uso misto, predominância de uso não residencial, não em condomínio",1996,43
"prédio com uso misto, predominância de uso residencial, não em condomínio",1996,3903
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",1996,19403
residência,1996,936187
"residência coletiva (mais de uma residência no lote), exclusive cortiço",1996,156356
residência e outro uso (predominância residencial),1996,51654
residência vertical - Padrão C,1996,1
templo,1996,3564
terreno,1996,194978
apartamento,2007,897411
armazéns gerais e depósitos,2007,8143
"asilo, orfanato, creche, seminário ou convento",2007,587
"cinema, teatro, casa de diversão, clube ou congênere",2007,540
clube esportivo,2007,545
cortiço (habitação coletiva subnormal),2007,1725
escola,2007,6543
escritório ou consultório,2007,85190
"estacionamento e garagem, não em condomínio",2007,2873
"estação radioemissora, de televisão ou empresa jornalística",2007,232
"flat, não residencial",2007,20484
"flat, residencial",2007,3999
"garagem em edifício de escritórios, consultórios ou misto",2007,26802
garagem em edifício de uso exclusivamente residencial,2007,148851
"garagem, em prédio de garagens",2007,9752
"hospital, ambulatório, casa de saúde e assemelhados",2007,1269
"hotel, pensão ou hospedaria",2007,1080
indústria,2007,13952
loja,2007,55425
loja e residência (predominância comercial),2007,49887
loja em edifício em condomínio,2007,20932
oficina,2007,10662
"outras edificações do tipo (uso coletivo), com utilização múltipla",2007,2682
"outras edificações do tipo (uso comércio), com utilização múltipla",2007,17945
"outras edificações do tipo (uso especial), com utilização múltipla",2007,1209
"outras edificações do tipo (uso serviço), com utilização múltipla",2007,5035
posto de serviço (combustíveis),2007,2212
"prédio com uso exclusivamente residencial, não em condomínio",2007,1452
"prédio com uso misto, predominância de uso não residencial, não em condomínio",2007,239
"prédio com uso misto, predominância de uso residencial, não em condomínio",2007,2889
"prédio de escritório ou consultório, com ou sem lojas, não em condomínio",2007,24652
residência,2007,972162
